name,pokedex,is_legendary
Bulbasaur,Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the suns rays the seed grows progressively larger.,0
Ivysaur,There is a bud on this Pokemons back. To support its weight Ivysaurs legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight its a sign that the bud will bloom into a large flower soon.,0
Venusaur,There is a large flower on Venusaurs back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flowers aroma soothes the emotions of people.,0
Charmander,The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokemon becomes enraged the flame burns fiercely.,0
Charmeleon,Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe it turns aggressive. In this excited state the flame at the tip of its tail flares with a bluish white color.,0
Charizard,Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However it never turns its fiery breath on any opponent weaker than itself.,0
Squirtle,Squirtles shell is not merely used for protection. The shells rounded shape and the grooves on its surface help minimize resistance in water enabling this Pokemon to swim at high speeds.,0
Wartortle,Its tail is large and covered with a rich thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokemons toughness as a battler.,0
Blastoise,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,0
Caterpie,Its easy to catch and it grows quickly making it one of the top recommendations for novice Pokemon Trainers.,0
Metapod,Its shell is hard but its still just a bug shell. Its been known to break so intense battles with it should be avoided.,0
Butterfree,When attacked by other Pokemon it defends itself by scattering its poisonous scales and fluttering its wings.,0
Weedle,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,0
Kakuna,Kakuna remains virtually immobile as it clings to a tree. However on the inside it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.,0
Beedrill,Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered they will attack in a furious swarm.,0
Pidgey,Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest however far it may be removed from its familiar surroundings.,0
Pidgeotto,Pidgeotto claims a large area as its own territory. This Pokemon flies around patrolling its living space. If its territory is violated it shows no mercy in thoroughly punishing the foe with its sharp claws.,0
Pidgeot,This Pokemon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head compelling them to choose Pidgeot as their Pokemon.,0
Rattata,With their strong capacity for survival they can live in dirty places without concern. Left unchecked their numbers multiply rapidly.,0
Raticate,Its disposition is far more violent than its looks would suggest. Dont let your hand get too close to its face as it could bite your hand clean off.,0
Spearow,Farmers whose fields are troubled by bug Pokemon appreciate Spearow for its vigorous appetite and look after it.,0
Fearow,Drawings of a Pokemon resembling Fearow can be seen in murals from deep in ancient history.,0
Ekans,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,0
Arbok,This Pokemon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe escaping its crunching embrace is impossible.,0
Pikachu,Its in its nature to store electricity. It feels stressed now and then if its unable to fully discharge the electricity.,0
Raichu,It becomes aggressive when it has electricity stored up. At such times even its Trainer has to take care to avoid being attacked.,0
Sandshrew,It usually makes its home in deserts and arid zones where rain does not fall. It digs holes to catch Bug-type Pokemon.,0
Sandslash,It uses its claws to climb trees and then curls its body into a spiny ball ready to drop onto any prey that appears.,0
Nidoran♀,Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokemon. When enraged it releases a horrible toxin from its horn.,0
Nidorina,When Nidorina are with their friends or family they keep their barbs tucked away to prevent hurting each other. This Pokemon appears to become nervous if separated from the others.,0
Nidoqueen,Nidoqueens body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokemon is at its strongest when it is defending its young.,0
Nidoran♂,Nidoran♂ has developed muscles for moving its ears. Thanks to them the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokemons notice.,0
Nidorino,Nidorino has a horn that is harder than a diamond. If it senses a hostile presence all the barbs on its back bristle up at once and it challenges the foe with all its might.,0
Nidoking,Nidokings thick tail packs enormously destructive power. With one swing it can topple a metal transmission tower. Once this Pokemon goes on a rampage there is no stopping it.,0
Clefairy,On nights with a full moon they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.,0
Clefable,According to tradition people who see a pair of Clefable skipping by can look forward to a happy marriage.,0
Vulpix,From its mouth spew flames that seem to resemble the spirits of the deceased. Some people mistakenly think this fire is a ghost.,0
Ninetales,Said to live for a thousand years this Pokemon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.,0
Jigglypuff,Jigglypuff possess a vocal range that exceeds 12 octaves but each individuals singing skill depends on its own effort.,0
Wigglytuff,As it inhales it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most.,0
Zubat,When exposed to sunlight they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony.,0
Golbat,Sometimes they drink so much blood they cant fly anymore. Then they fall to the ground and become food for other Pokemon.,0
Oddish,Oddish searches for fertile nutrient-rich soil then plants itself. During the daytime while it is planted this Pokemons feet are thought to change shape and become similar to the roots of trees.,0
Gloom,From its mouth Gloom drips honey that smells absolutely horrible. Apparently it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.,0
Vileplume,Vileplume has the worlds largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized this Pokemon catches and devours them.,0
Paras,Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.,0
Parasect,It scatters toxic spores from its mushroom cap. Once harvested these spores can be steeped and boiled down to prepare herbal medicines.,0
Venonat,Venonat is said to have evolved with a coat of thin stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.,0
Venomoth,Venomoth is nocturnal—it is a Pokemon that only becomes active at night. Its favorite prey are small insects that gather around streetlights attracted by the light in the darkness.,0
Diglett,Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.,0
Dugtrio,Despite the closeness between this Pokemon and farmers and other people no one has ever seen the parts of it concealed underground.,0
Meowth,It loves shiny things. It often fights with Murkrow over prey theyre both trying to catch.,0
Persian,It has a high opinion of itself although not to the same extent as the Alolan Persian. Its quite difficult to make friends with this Pokemon.,0
Psyduck,This Pokemon is troubled by constant headaches. The more pain its in the more powerful its psychokinesis becomes.,0
Golduck,It swims along the banks of lakes and catches fish Pokemon. It takes them to the shore and quietly eats them up.,0
Mankey,Its raging tires it out and causes it to fall asleep but the anger resonating in its dreams causes it to wake up—which infuriates it all over again.,0
Primeape,Some researchers theorize that Primeape remains angry even when inside a Poke Ball.,0
Growlithe,It looks cute but when you approach another Trainers Growlithe it will bark at you and bite.,0
Arcanine,The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.,0
Poliwag,Its still not very good at walking. Its Trainers should train this Pokemon to walk every day.,0
Poliwhirl,It marches over the land in search of bug Pokemon to eat. Then it takes them underwater so it can dine on them where its safe.,0
Poliwrath,Its percentage of body fat is nearly zero. Its body is entirely muscle which makes it heavy and forces its swimming prowess to develop.,0
Abra,It can teleport itself to safety while its asleep but when it wakes it doesnt know where it is so it panics.,0
Kadabra,Kadabras presence infests televisions and monitors with creepy shadows that bring bad luck.,0
Alakazam,Its brain cells continue to increase in number until its death. The older the Alakazam the larger its head.,0
Machop,With its superhuman strength its able to throw a hundred people all at the same time. Its strength comes from lifting Graveler every day.,0
Machoke,It willingly assists with hard labor because it knows the work is good training for its muscles.,0
Machamp,It can lift heavy loads with the greatest of ease. It can even heft dump trucks. But its clumsy fingers prevent it from doing any precision work.,0
Bellsprout,Bellsprouts thin and flexible body lets it bend and sway to avoid any attack however strong it may be. From its mouth this Pokemon spits a corrosive fluid that melts even iron.,0
Weepinbell,Weepinbell has a large hook on its rear end. At night the Pokemon hooks on to a tree branch and goes to sleep. If it moves around in its sleep it may wake up to find itself on the ground.,0
Victreebel,Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near this Pokemon swallows it whole.,0
Tentacool,It drifts in shallow seas such as the areas near beaches. If you get bitten or stabbed by its toxic tentacles rush to the hospital.,0
Tentacruel,Although these Pokemon are rare when a large outbreak of them occurs all fish Pokemon disappear from the surrounding sea.,0
Geodude,There are plenty of them to be found along any road. A scholar with too much free time once counted a hundred of them along a single route.,0
Graveler,This slow-footed Pokemon moves by curling up and rolling instead of walking. With enough momentum its speed can exceed 60 mph.,0
Golem,Once a year this Pokemon molts and its shed shell returns to the soil. This process creates enriched soil so farmers collect the shells.,0
Ponyta,Ponyta is very weak at birth. It can barely stand up. This Pokemon becomes stronger by stumbling and falling to keep up with its parent.,0
Rapidash,Rapidash usually can be seen casually cantering in the fields and plains. However when this Pokemon turns serious its fiery manes flare and blaze as it gallops its way up to 150 mph.,0
Slowpoke,Alolan home cooking involves drying Slowpoke tails and then simmering them into a salty stew.,0
Slowbro,Whenever Shellder bites down hard on its tail it gives Slowbro a flash of inspiration...which it forgets a moment later.,0
Magnemite,It sends out electromagnetic waves which let it float through the air. Touching it while its eating electricity will give you a full-body shock.,0
