Nombre,Descripcion
Abomasnow,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.
Abra,It can teleport itself to safety while it’s asleep but when it wakes it doesn’t know where it is so it panics.
Absol,Although it’s said to bring disaster in actuality this Pokémon possesses a calm disposition and warns people of any crises that loom.
Accelgor,When its body dries out it weakens. So to prevent dehydration it wraps itself in many layers of thin membrane.
Aegislash,Apparently it can detect the innate qualities of leadership. According to legend whoever it recognizes is destined to become king.
Aerodactyl,In ancient times it ruled the skies. A widely accepted theory is that it went extinct due to a large meteor impact.
Aggron,Aggron is protective of its environment. If its mountain is ravaged by a landslide or a fire this Pokémon will haul topsoil to the area plant trees and beautifully restore its own territory.
Aipom,Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However because the Pokémon uses its tail so much its real hands have become rather clumsy.
Alakazam,Its brain cells continue to increase in number until its death. The older the Alakazam the larger its head.
Alomomola,They float upon the open sea. Many water Pokémon gather in the area around Alomomola.
Altaria,Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.
Amaura,This calm Pokémon lived in a cold land where there were no violent predators like Tyrantrum.
Ambipom,To eat it deftly shucks nuts with its two tails. It rarely uses its arms now.
Amoonguss,It lures prey close by dancing and waving its arm caps which resemble Poké Balls in a swaying motion.
Ampharos,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.
Anorith,Anorith is said to be a type of Pokémon predecessor with eight wings at the sides of its body. This Pokémon swam in the primordial sea by undulating these eight wings.
Araquanid,Despite what its appearance suggests it cares for others. If it finds vulnerable weak Pokémon it protectively brings them into its water bubble.
Arbok,This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe escaping its crunching embrace is impossible.
Arcanine,The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.
Arceus,It is told in mythology that this Pokémon was born before the universe even existed.
Archen,To all appearances flightless it was able to glide down from tall treetops to snag its prey.
Archeops,They hunted in flocks. When one Archeops had the prey cornered another would swoop on it.
Ariados,It spins thread from both its rear and its mouth. Then it wraps its prey up in thread and sips their bodily fluids at its leisure.
Armaldo,Armaldo is a Pokémon species that became extinct in prehistoric times. This Pokémon is said to have walked on its hind legs which would have been more convenient for life on land.
Aromatisse,Its scent is so overpowering that unless a Trainer happens to really enjoy the smell he or she will have a hard time walking alongside it.
Aron,Aron has a body of steel. With one all-out charge this Pokémon can demolish even a heavy dump truck. The destroyed dump truck then becomes a handy meal for the Pokémon.
Articuno,Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result it is said that when this Pokémon flies snow will fall.
Audino,It touches others with the feelers on its ears using the sound of their heartbeats to tell how they are feeling.
Aurorus,Using its diamond-shaped crystals it can instantly create a wall of ice to block an opponent’s attack.
Avalugg,The way several Bergmite huddle on its back makes it look like an aircraft carrier made of ice.
